station_id,station_name
01139,Eging am See-Burgstall
01158,Eichendorf
01161,Eichstätt-Landershofen
01164,Eifel
01166,Eilenburg
01170,Eimen-Vorwohle
01176,Eisenbach
01185,UFS Elbe
01197,Ellwangen-Rindelbach
01200,Elpersbüttel
01207,"Elster, Bad-Sohl"
01210,Elsterwerda
01214,Elzach-Fisnacht
01216,Elztal-Rittersbach
01219,Emden-Nesserland
01223,Ringe-Großringe
01224,Emmendingen-Mundingen
01228,UFS TW Ems
01237,Tacherting-Spreit
01239,Engen/Hegau
01241,Enger
01246,Ennigerloh-Ostenfelde
01253,Nentershausen (KA)
01255,Eppingen-Elsenz
01260,Erbeskopf
01262,München-Flughafen
01266,Erfde
01270,Erfurt-Weimar
01278,Cremlingen-Destedt
01279,Möhrendorf-Kleinseebach
01282,Erlbach-Eubabrunn
01290,Eschbronn-Mariazell
01297,Eschwege
01300,Eslohe
01303,Essen-Bredeney
01304,"Essen-Brockhausen, Bad"
01313,Ettal-Linderhof
01315,Ettlingen-Ettlingenweier
01320,Etzleben
01327,Weilerswist-Lommersum
01332,"Falkenberg,Kr.Rottal-Inn"
01336,"Fallingbostel, Bad"
01339,Faßberg
01341,Fehmarnbelt
01343,"Feilnbach, Bad"
01346,Feldberg/Schwarzwald
01350,Felgentreu
01355,FES Weser
01357,Fichtelberg/Oberfranken-Hüttstadl
01358,Fichtelberg
01366,Finsing (Kraftwerk)
01392,Flossenbürg
01402,Forschungsplattform Nordsee
01411,Birx/Rhön
01420,Frankfurt/Main
01424,Frankfurt/Main-Westend
01426,Frankfurt/Oder
01435,Frauenwald
01441,Freiberg
01443,Freiburg
01451,Freiburg/Elbe
01458,Freihung-Großschönbrunn
01468,Freudenstadt
01473,Freystadt-Oberndorf
01490,Friedrichshafen
01495,Goldenbow
01497,Friedrichswalde
01503,Friesoythe-Altenoythe
01504,Fritzlar (Flugplatz)
01511,Marklkofen (Betriebsstelle Vilstalsee)
01515,Fürstenfeldbruck
01526,Fulda-Horas
01538,Gaildorf-Hägenau
01542,Gangkofen (Kläranlage)
01544,Gardelegen
01550,Garmisch-Partenkirchen
01559,Gebhardshain
01561,Gedern-Schönhausen
01572,Geilenkirchen (Flugplatz)
01573,Geisa
01578,Geisenfeld-Eichelberg
01580,Geisenheim
01584,Geisingen
01587,Gelbelsee
01590,Geldern-Walbeck
01595,Gelsenkirchen-Buer
01598,Oberbachheim
01602,Ohlsbach
01605,Genthin
01607,Georgensgmünd
01612,Gera-Leumnitz
01639,Gießen/Wettenberg
01642,Gilching
01645,Gilserberg-Moischeid
01650,Henschtal
01666,Glücksburg-Meierwik
01669,Borrentin-Wolkwitz
01684,Görlitz
01689,Gößweinstein
01691,Göttingen
01694,Goldberg
01711,Gottmadingen
01717,Grabow (Kläranlage Fahlenkamp)
01721,Gräfenberg-Kasberg
01735,Grainet-Rehberg
01736,Grambek
01744,Graustein
01750,Grebenstein
01757,Greifswald
01759,Greifswalder Oie
01766,Münster/Osnabrück
01769,Grevesmühlen
01770,Grieben
01792,Groß Berßen
01793,Hecklingen-Groß Börnecke
01801,Groß Kreutz
01803,Groß Lüsewitz
01810,Schorfheide-Groß Schönebeck
01813,Groß Wittensee
01814,Groß-Gerau-Wallerstädten
01827,Großenbrode
01830,Großenlüder-Kleinlüder
01832,Großer Arber
01833,Grosser Falkenstein
01844,Feldkirchen-Westerham-Lenzmühle
01846,Pilsting-Bäckermühle
01847,Weißenfels-Wengelsdorf
01848,Markranstädt-Großlehna
01851,Großostheim
01863,Gründau-Breitenborn
01869,Grünow
01870,Grünstadt
01886,Günzburg
01888,Parum
01892,Gütersloh (Flugplatz)
01900,Vilsheim-Münchsdorf
01937,Haigerloch-Weildorf
01938,Haimhausen-Ottershausen
01950,Halblech-Trauchgau
01957,Halle-Kröllwitz
01964,Olsdorf
01975,Hamburg-Fuhlsbüttel
01981,Hamburg-Neuwiedenthal
01997,Hammelburg
02011,Hannover-Herrenhausen
02012,Hannover-Kirchrode
02014,Hannover
02023,Harburg
02027,Harsewinkel
02039,"Harzburg, Bad"
02044,Harzgerode
02050,Haslach im Kinzigtal
02051,Hasloch/Main (Schirrhof)
02064,Haundorf-Obererlbach
02066,Haunetal-Wehrda
02072,Hayingen
02074,Hechingen
02080,Heidelberg
02088,Heidenheim/Brenz
02109,Heinrichsthal
02110,Heinsberg-Schleiden
02115,Helgoland
02119,Helmbrechts
02152,Herleshausen-Archfeld
02159,Herrenberg
02167,Niederwörresbach
02170,Weißenseifen
02171,"Hersfeld, Bad"
02174,Herzberg
02175,Herzberg-Lonau
02184,Hessisch Lichtenau-Fürstenhagen
02201,Hiddensee-Vitte
02211,Hilgenroth
02213,Lissendorf
02222,Hindelang-Unterjoch (LfW)
02233,Hirschberg
02236,Hirschthal
02252,Bertsdorf-Hörnitz
02254,Hörstel-Riesenbeck
02261,Hof
02272,Ventschow
02274,Hohenberg/Eger
02278,Hohenbucko
02290,Hohenpeißenberg
02292,Hohenstein-Bernloch
02293,Hohenstein-Breithardt
02294,Hohenthann
02303,Hohn
